id,vulnerability,description,insecure_code,secure_code,severity,explanation_of_fix,Link,Confidence,Status
Sol-015,,"The vulnerability occurs when a smart contract assumes an account’s data is initialized without checking, potentially allowing attackers to exploit uninitialized or garbage data to bypass logic.","rust
let user_data = User::try_deserialize(&mut account.data.borrow())?;
if user_data.authority == authority.key() {
    process_action();
}","rust
if account.data.borrow().is_empty() {
    User::init(&mut account.data.borrow_mut(), authority.key())?;
} else {
    let user_data = User::try_deserialize(&mut account.data.borrow())?;
    if user_data.authority != authority.key() {
        return Err(ProgramError::InvalidAccountData);
    }
}

process_action();",High,"The secure code checks if the account data is empty and initializes it if so, otherwise validating the deserialized `authority`. This prevents logic bypass via uninitialized or attacker-controlled data.",,High,"Fixed, NoLink"
Sol-016,,"The vulnerability arises from not re-verifying signer status in a Cross-Program Invocation (CPI), allowing attackers to spoof a signer’s authority by manipulating the calling context.","rust
invoke(
    &transfer_instruction,
    &[source.clone(), destination.clone(), authority.clone()],
)?;","rust
let signer_seeds = &[authority.key.as_ref(), &[bump]];
invoke_signed(
    &transfer_instruction, 
    &[source.clone(), destination.clone(), authority.clone()],
    &[&signer_seeds],
)?;",Critical,"The secure code uses `invoke_signed` with PDA seeds, ensuring the CPI call carries signer authority cryptographically. This prevents spoofing, a severe risk in Solana’s CPI model (e.g., Wormhole exploit).",,High,"Fixed, NoLink"
Sol-017,,"The vulnerability stems from not validating state changes before and after external calls, such as flash loans, allowing attackers to temporarily manipulate balances or other contract states.","rust
let initial_balance = account.balance; 
external_call(&mut account)?; 
account.balance += reward;","rust
let initial_balance = account.balance;

external_call(&mut account)?;

if account.balance != initial_balance {
    return Err(ProgramError::InvalidState);
}

account.balance = initial_balance
     .checked_add(reward)
     .ok_or(ProgramError::ArithmeticOverflow)?;",High,"The secure code checks the balance before and after the external call, rejecting changes, and uses `checked_add` for the reward. This prevents flash loan manipulations and ensures state integrity.",,High,"Fixed, NoLink"
Sol-018,,"The vulnerability occurs when a smart contract does not prevent the replay of transaction instructions, potentially allowing attackers to reuse valid instructions for unauthorized actions like double-spending.","rust
process_transfer(&mut account, amount);","rust
if account.last_txn == ctx.instruction_context.transaction_context.transaction_id {
    return Err(ProgramError::InvalidArgument);
} 

process_transfer(&mut account, amount);

account.last_txn = ctx.instruction_context.transaction_context.transaction_id;",High,"The secure code tracks the last transaction ID, rejecting replays if it matches the current one, and updates it post-transfer. This prevents attackers from reusing signed instructions, ensuring transaction uniqueness.",,High,"Fixed, NoLink"
Sol-019,,"The vulnerability arises from unchecked arithmetic operations in smart contracts, which can lead to overflows or underflows in Rust's release mode, allowing attackers to manipulate balances or other critical values.","rust
fn main() {
    let mut balance: u64 = 10;
    balance -= 20;
    println!(""Balance: {}"", balance);
}","rust
fn main() {
    let balance: u64 = 10;
    let new_balance = balance
        .checked_sub(20)
        .expect(""Subtraction overflowed!"");

    println!(""New Balance: {}"", new_balance);
}",Critical,Use Rust’s checked_* or saturating_* methods to safely handle overflows and underflows:,,High,"Fixed, NoLink"
Sol-020,,"The vulnerability occurs when an external contract calls back into the vulnerable contract before the original function call is completed, potentially allowing the external contract to alter the state unexpectedly (such as withdrawing funds multiple times). ","rust
pub fn withdraw(&mut self, amount: u128) {
    assert!(
        self.balances[self.caller()] >= amount, 
        ""Insufficient funds""
    );
    self.transfer(self.caller(), amount);
    self.balances[self.caller()] -= amount;  // Reentrancy vulnerability
}","rust
pub fn withdraw(&mut self, amount: u128) {
    assert!(self.balances[self.caller()] >= amount, ""Insufficient funds"");
    self.balances[self.caller()] -= amount;
    self.transfer(self.caller(), amount);
}",Critical,"Use the checks-effects-interactions pattern, updating the state before making external calls",,High,"Fixed, NoLink"
Sol-021,,The vulnerability occurs due to a missing ownership check,"rust
fn withdraw_token_restricted(program_id: &Pubkey, accounts: &[AccountInfo], amount: u64) -> ProgramResult {
    let account_iter = &mut accounts.iter();
    let vault = next_account_info(account_iter)?;
    let admin = next_account_info(account_iter)?;
    let config = ConfigAccount::unpack(next_account_info(account_iter)?)?;
    let vault_authority = next_account_info(account_iter)?;

    if config.admin != admin.pubkey() {
        return Err(ProgramError::InvalidAdminAccount);
    }

    Ok(())
}","rust
fn withdraw_token_restricted(program_id: &Pubkey, accounts: &[AccountInfo], amount: u64) -> ProgramResult {
    let account_iter = &mut accounts.iter();
    let vault = next_account_info(account_iter)?;
    let admin = next_account_info(account_iter)?;
    let config = ConfigAccount::unpack(next_account_info(account_iter)?)?;
    let vault_authority = next_account_info(account_iter)?;
    
    if config.owner != program_id {
        return Err(ProgramError::InvalidConfigAccount);
    }
    
    if config.admin != admin.pubkey() {
        return Err(ProgramError::InvalidAdminAccount);
    }

    Ok(())
}",Critical,Add the missing ownership check to prevent unauthorized access,,High,"Fixed, NoLink"
Sol-022,,The vulnerability occurs when the contract doesn't verify that the respective entity has signed the corresponding transaction,"rust
fn update_admin(program_id: &Pubkey, accounts: &[AccountInfo]) -> ProgramResult {
    let account_iter = &mut accounts.iter();
    let config = ConfigAccount::unpack(next_account_info(account_iter)?)?;
    let admin = next_account_info(account_iter)?;
    let new_admin = next_account_info(account_iter)?;

    // Validate the config account...
    if admin.pubkey() != config.admin {
        return Err(ProgramError::InvalidAdminAccount);
    }
    
    config.admin = new_admin.pubkey();

    Ok(())
}","rust
fn update_admin(program_id: &Pubkey, accounts: &[AccountInfo]) -> ProgramResult {
    let account_iter = &mut accounts.iter();
    let config = ConfigAccount::unpack(next_account_info(account_iter)?)?;
    let admin = next_account_info(account_iter)?;
    let new_admin = next_account_info(account_iter)?;
    
    // ...
    // Validate the config account...
    // ...
    
    if admin.pubkey() != config.admin {
        return Err(ProgramError::InvalidAdminAccount);
    }
  
    // check that the current admin has signed this operation
    if !admin.is_signer {
        return Err(ProgramError::MissingSigner);
    }
    
    config.admin = new_admin.pubkey();
    Ok(())
}",Critical,Insert the missing check to ensure valid checks are executed,,High,"Fixed, NoLink"
Sol-023,,"The vulnerability occurrs due to integer overflow, causing the program to panic","rust
let FEE: u32 = 1000; 

fn withdraw_token(program_id: &Pubkey, accounts: &[AccountInfo], amount: u32) -> ProgramResult { 
    // ... 
    // deserialize & validate user and vault accounts 
    // ... 
    
    if amount + FEE > vault.user_balance[user_id] { 
        return Err(ProgramError::AttemptToWithdrawTooMuch); 
    } 
    
    // ... 
    // Transfer `amount` many tokens from vault to user-controlled account 
    // ... 
    
    Ok(()) 
}","rust
let FEE: u32 = 1000;

fn withdraw_token(program_id: &Pubkey, accounts: &[AccountInfo], amount: u32) -> ProgramResult {
    // ...
    // deserialize & validate user and vault accounts
    // ...

    if amount.checked_add(FEE).ok_or(ProgramError::InvalidArgument)? > vault.user_balance[user_id] {
        return Err(ProgramError::AttemptToWithdrawTooMuch);
    }

    // ...
    // Transfer `amount` many tokens from vault to user-controlled account
    // ...

    Ok(())
}",Critical,Replace the + with checked_add to mitigate this issue,,High,"Fixed, NoLink"
Sol-024,,The vulnerability occurs when an attacker uses a foreign program account to call an unexpected function,"rust
pub fn process_withdraw(
    program_id: &Pubkey, 
    accounts: &[AccountInfo], 
    amount: u64
) -> ProgramResult { 
    let account_info_iter = &mut accounts.iter(); 

    let vault = next_account_info(account_info_iter)?; 
    let vault_authority = next_account_info(account_info_iter)?; 
    let destination = next_account_info(account_info_iter)?; 
    let token_program = next_account_info(account_info_iter)?;

    // ...
    // get signer seeds, validate account owners and signers,
    // and verify that the user can withdraw the supplied amount 
    // ...

    // invoke unverified token_program 
    invoke_signed(
        &spl_token::instruction::transfer(
            &token_program.key, 
            &vault.key, 
            &destination.key, 
            &vault_authority.key, 
            &[&vault_authority.key], 
            amount,
        )?,
        &[ 
            vault.clone(), 
            destination.clone(), 
            vault_owner_info.clone(), 
            token_program.clone(), 
        ],
        &[&seeds],
    )?;

    Ok(())
}","rust
pub fn process_withdraw(program_id: &Pubkey, accounts: &[AccountInfo], amount: u64) -> ProgramResult {
    let account_info_iter = &mut accounts.iter();
    let vault = next_account_info(account_info_iter)?;
    let vault_authority = next_account_info(account_info_iter)?;
    let destination = next_account_info(account_info_iter)?;
    let token_program = next_account_info(account_info_iter)?;

    // ...
    // get signer seeds, validate account owners and signers,
    // and verify that the user can withdraw the supplied amount
    // ...

    // verify that token_program is in fact the official spl token program
    if token_program.key != &spl_token::id() {
        return Err(ProgramError::InvalidTokenProgram);
    }

    invoke_signed(
        &spl_token::instruction::transfer(
            &token_program.key,
            &vault.key,
            &destination.key,
            &vault_authority.key,
            &[&vault_authority.key],
            amount,
        )?,
        &[
            vault.clone(),
            destination.clone(),
            vault_owner_info.clone(),
            token_program.clone(),
        ],
        &[&seeds],
    )?;

    Ok(())
}",Critical,"Make sure we check that the program we are invoking is, in fact, the one we want",,High,"Fixed, NoLink"
Sol-025,,The vulnerability arises when an account type is not the one expected by the program,"rust
// ------- Account Types --------
pub struct Config {
    pub admin: Pubkey,
    pub fee: u32,
    pub user_count: u32,
}

pub struct User {
    pub user_authority: Pubkey,
    pub balance: u64,
}

// ------- Helper functions --------
fn unpack_config(account: &AccountInfo) -> Result<Config, ProgramError> {
    let config: Config = deserialize(&mut account.data.borrow())?;
    Ok(config)
}

// ------- Contract Instructions ---------
fn create_user(program_id: &Pubkey, accounts: &[AccountInfo]) -> ProgramResult {
    let account_iter = &mut accounts.iter();
    let user = next_account_info(account_iter)?;
    // ...
    // Initialize a User struct, set user_authority
    // to user and set balance to 0
    // ...
    Ok(())
}

fn withdraw_tokens(
    program_id: &Pubkey,
    accounts: &[AccountInfo],
    amount: u64,
) -> ProgramResult {
    let account_iter = &mut accounts.iter();
    let vault = next_account_info(account_iter)?;
    let admin = next_account_info(account_iter)?;
    let config = unpack_config(next_account_info(account_iter)?)?;
    let vault_authority = next_account_info(account_iter)?;

    if config.owner != *program_id {
        return Err(ProgramError::InvalidConfigAccount);
    }
    if config.admin != *admin.key {
        return Err(ProgramError::InvalidAdminAccount);
    }
    // ...
    // Transfer funds from vault to admin using vault_authority
    // ...
    Ok(())
}","rust
// ------- Account Types -------- 
pub struct Config { 
    pub TYPE: u8, // <-- should contain a unique identifier for this account type 
    pub admin: Pubkey, 
    pub fee: u32, 
    pub user_count: u32, 
} 

pub struct User { 
    pub TYPE: u8, // <-- should contain a unique identifier for this account type 
    pub user_authority: Pubkey, 
    pub balance: u64, 
} 

 // ------- Helper functions -------- 
 fn unpack_config(account: &AccountInfo) -> Result<Config, ProgramError> { 
     let mut config: Config = deserialize(&mut account.data.borrow())?;
     if config.TYPE != Types::ConfigType { 
         return Err(ProgramError::InvalidAccountType); 
     } 
     return config; 
}

 // ------- Contract Instructions --------- 

fn create_user(program_id: &Pubkey, accounts: &[AccountInfo]) -> ProgramResult { 
    let account_iter = &mut accounts.iter(); 
    let user = next_account_info(account_iter)?; 
    // ... 
    // Initialize a User struct, set user_authority 
    // to user and set balance to 0 
    // ... 
    Ok(()) 
} 

fn withdraw_tokens(program_id: &Pubkey, accounts: &[AccountInfo], amount: u64) -> ProgramResult { 
    let account_iter = &mut accounts.iter(); 
    let vault = next_account_info(account_iter)?;
    let admin = next_account_info(account_iter)?;
    let config = unpack_config(next_account_info(account_iter)?)?; 
    let vault_authority = next_account_info(account_iter)?;
    if config.owner != program_id { 
        return Err(ProgramError::InvalidConfigAccount); 
    } 
    if config.admin != admin.pubkey() { 
        return Err(ProgramError::InvalidAdminAccount); 
    } 
    // ... 
    // Transfer funds from vault to admin using vault_authority 
    // ... 
    Ok(()) 
}",High,"When we create a new account, we set the TYPE field to a value that is unique to accounts of that type. Our deserialization function will also have to validate the TYPE and error out if the account does not have the type we’re expecting.",,High,"Fixed, NoLink"
Sol-026,signer-authorization,,"rust
use anchor_lang::prelude::*;

declare_id!(""Fg6PaFpoGXkYsidMpWTK6W2BeZ7FEfcYkg476zPFsLnS"");

#[program]
pub mod signer_authorization_insecure 
{
    use super::*;

    pub fn log_message(ctx: Context<LogMessage>) -> ProgramResult 
    {
        msg!(""GM {}"", ctx.accounts.authority.key().to_string());

        Ok(())
    }
}

#[derive(Accounts)]
pub struct LogMessage<'info> 
{
    authority: AccountInfo<'info>,
}","rust
use anchor_lang::prelude::*;

declare_id!(""Fg6PaFpoGXkYsidMpWTK6W2BeZ7FEfcYkg476zPFsLnS"");

#[program]
pub mod signer_authorization_secure {
    use super::*;

    pub fn log_message(ctx: Context<LogMessage>) -> ProgramResult { 
        if !ctx.accounts.authority.is_signer {
            return Err(ProgramError::MissingRequiredSignature);
        } 
        msg!(""GM {}"", ctx.accounts.authority.key().to_string());
        
        Ok(()) 
    } 
}

#[derive(Accounts)]
pub struct LogMessage<'info> {
    authority: AccountInfo<'info>,
}",Critical,We should always add signer checks when making system calls that require authorization,https://github.com/coral-xyz/sealevel-attacks/tree/master/programs/0-signer-authorization/insecure/src/lib.rs,High,Fixed
Sol-027,signer-authorization,,"rust
use anchor_lang::prelude::*;
declare_id!(""Fg6PaFpoGXkYsidMpWTK6W2BeZ7FEfcYkg476zPFsLnS"");

#[program]
pub mod signer_authorization_recommended {
    use super::*;

    pub fn log_message(ctx: Context<LogMessage>) -> ProgramResult {
        msg!(""GM {}"", ctx.accounts.authority.key().to_string());
        Ok(())
    }
}

#[derive(Accounts)]
pub struct LogMessage<'info> {
    authority: Signer<'info>,
}","rust
use anchor_lang::prelude::*;
declare_id!(""Fg6PaFpoGXkYsidMpWTK6W2BeZ7FEfcYkg476zPFsLnS"");

#[program]
pub mod signer_authorization_secure {
    use super::*;

    pub fn log_message(ctx: Context<LogMessage>) -> ProgramResult {
        if !ctx.accounts.authority.is_signer {
            return Err(ProgramError::MissingRequiredSignature);
        }
        msg!(""GM {}"", ctx.accounts.authority.key().to_string());
        Ok(())
    }
}

#[derive(Accounts)]
pub struct LogMessage<'info> {
    authority: AccountInfo<'info>,
}",Informational,"Change from Signer<'info> to AccountInfo<'info>: The LogMessage struct was updated to use AccountInfo<'info> instead of Signer<'info>. This allows more flexibility because AccountInfo provides access to raw account data and metadata (such as whether the account is a signer). Added explicit check ensures that the authority account is indeed a signer. If the account is not signed, it returns an error ProgramError::MissingRequiredSignature. This check is crucial because even if Signer<'info> was used in the previous code (indicating that the account should be a signer), the runtime still needed to confirm the actual signer status before proceeding with any logic.",https://github.com/coral-xyz/sealevel-attacks/tree/master/programs/0-signer-authorization/recommended/src/lib.rs,High,Fixed
Sol-028,account-data-matching,,"rust
use anchor_lang::prelude::*;
use anchor_lang::solana_program::program_pack::Pack;
use spl_token::state::Account as SplTokenAccount;

declare_id!(""Fg6PaFpoGXkYsidMpWTK6W2BeZ7FEfcYkg476zPFsLnS"");

#[program]
pub mod account_data_matching_insecure {
    use super::*;

    pub fn log_message(ctx: Context<LogMessage>) -> ProgramResult {
        let token = SplTokenAccount::unpack(&ctx.accounts.token.data.borrow())?;
        msg!(""Your account balance is: {}"", token.amount);
        Ok(())
    }
}

#[derive(Accounts)]
pub struct LogMessage<'info> {
    token: AccountInfo<'info>,
    authority: Signer<'info>,
}","rust
use anchor_lang::prelude::*;
use anchor_lang::solana_program::program_pack::Pack;
use spl_token::state::Account as SplTokenAccount;

declare_id!(""Fg6PaFpoGXkYsidMpWTK6W2BeZ7FEfcYkg476zPFsLnS"");

#[program]
pub mod account_data_matching_secure {
    use super::*;

    pub fn log_message(ctx: Context<LogMessage>) -> ProgramResult {
        let token = SplTokenAccount::unpack(&ctx.accounts.token.data.borrow())?;
        
        if ctx.accounts.authority.key != &token.owner {
            return Err(ProgramError::InvalidAccountData);
        }
        
        msg!(""Your account balance is: {}"", token.amount);
        Ok(())
    }
}

#[derive(Accounts)]
pub struct LogMessage<'info> {
    token: AccountInfo<'info>,
    authority: Signer<'info>,
}",Critical,Make sure to add the proper authority checks before making calls to token functions,https://github.com/coral-xyz/sealevel-attacks/tree/master/programs/1-account-data-matching/insecure/src/lib.rs,High,Fixed
Sol-029,account-data-matching,,"rust
use anchor_lang::prelude::*;
use anchor_spl::token::TokenAccount;
declare_id!(""Fg6PaFpoGXkYsidMpWTK6W2BeZ7FEfcYkg476zPFsLnS"");

#[program]
pub mod account_data_matching_recommended {
    use super::*;
        
    pub fn log_message(ctx: Context<LogMessage>) -> ProgramResult {
        msg!(""Your account balance is: {}"", ctx.accounts.token.amount);
        Ok(())
    }
}

#[derive(Accounts)]
pub struct LogMessage<'info> {
    #[account(constraint = authority.key == &token.owner)]
    token: Account<'info, TokenAccount>,
    authority: Signer<'info>,
}","rust
use anchor_lang::prelude::*;
use anchor_lang::solana_program::program_pack::Pack;
use spl_token::state::Account as SplTokenAccount;

declare_id!(""Fg6PaFpoGXkYsidMpWTK6W2BeZ7FEfcYkg476zPFsLnS"");

#[program]
pub mod account_data_matching_secure {
    use super::*;

    pub fn log_message(ctx: Context<LogMessage>) -> ProgramResult {
        let token = SplTokenAccount::unpack(&ctx.accounts.token.data.borrow())?;

        if ctx.accounts.authority.key != &token.owner {
            return Err(ProgramError::InvalidAccountData);
        }

        msg!(""Your account balance is: {}"", token.amount);
        
        Ok(())
    }
}

#[derive(Accounts)]
pub struct LogMessage<'info> {
    token: AccountInfo<'info>,
    authority: Signer<'info>
}",Informational,"The vulnerability was fixed by manually unpacking the token account using the SplTokenAccount::unpack method, which allows the program to directly access and validate the token account's owner and other data. The program now performs a more explicit check on the token account's owner and ensures that the provided authority matches the owner of the token account. This is a more reliable and transparent method of verifying the ownership compared to relying solely on Anchor constraints.",https://github.com/coral-xyz/sealevel-attacks/tree/master/programs/1-account-data-matching/recommended/src/lib.rs,High,Fixed
